"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16382839322";"HW0145	";"CALÇA CACHAREL PRETA (ELASTICO CINTURA )";"UN";"9505.90.00";"0";"23,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"Variação";"Própria";"";"";"";"";"0,00";"";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839326";"HW0145G	";"Tamanho:G";"UN";"9505.90.00";"0";"23,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7898562561830";"	7898562561830";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0145";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839325";"HW0145M	";"Tamanho:M";"UN";"9505.90.00";"0";"23,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7898562561847";"	7898562561847";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0145";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839324";"HW0145P	";"Tamanho:P";"UN";"9505.90.00";"0";"23,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7898562561854";"	7898562561854";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0145";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839323";"HW0253	";"SUPER CAVEIRINHA MACAÇÃO CURTO + CINTO+CAPA";"UN";"9505.90.00";"0";"39,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"Variação";"Própria";"";"";"";"";"0,00";"";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839330";"HW0253G	";"Tamanho:G";"UN";"9505.90.00";"0";"39,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7908652910971";"	7908652910971";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0253";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839331";"HW0253GG	";"Tamanho:GG";"UN";"9505.90.00";"0";"39,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7898562563582";"	7898562563582";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0253";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839329";"HW0253M	";"Tamanho:M";"UN";"9505.90.00";"0";"39,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7908652910988";"	7908652910988";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0253";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16382839327";"HW0253P	";"Tamanho:P";"UN";"9505.90.00";"0";"39,90";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	7908652910995";"	7908652910995";"0,00";"0,00";"0,00";"";"";"Fantasia infantil masculino";"0,00";"";"Própria";"";"";"";"";"0,00";"HW0253";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia infantil masculino";"0";"";"";"0";"SIM";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
"16412084608";"HW0001	";"MORTE BEMBER";"UN";"9505.90.00";"0";"42,80";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,100";"0,100";"	";"	";"0,00";"0,00";"0,00";"";"";"Fantasia adulto masculino";"0,00";"Variação";"Própria";"";"";"";"";"0,00";"";"0";"";"Masquerade Fantasias";"28.054.00";"0";"Fantasia adulto masculino";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"HALLOWEEN";""
